jobs,count
charen,1
mauisier,1
garde malore,1
mentier,1
suge d eppel,1
falieun d habr,1
sacandier,1
pondeur,1
charpartier,1
adjudant de portey,1
mourement porpituel,1
iber,1
toujour,1
beu,1
acharlde c de pn,1
mtre vaiture,1
charetine,1
garde de police,1
charvatier,1
lesciveuse,1
polier de tarc,1
coupend de bois,1
catissier,1
ancien domestique,1
vit de sesrenter,1
polier de terre,1
le mari est,1
absent,1
vit de sereuler,1
reanteur,1
aid lion d ord,1
manuisier,1
prieur et watelshien,1
iogotiant et,1
gamoiseur,1
iugorimeur,1
tient ecole,1
chanoisan,1
vit de sesiartes,1
fait des allumettes,1
callotier,1
messager,1
cherchdle,1
endeur de vin,1
tauvreur,1
marchande de moden,1
sans vocation,1
jonaillere,1
chamoisen,1
voitnier,1
vunssier de b,1
chambre fs ncound,1
e plien,1
journau,1
chandellon,1
